name,K,width,eps0,lr_type,maxpool_kernel,power,activate,test_acc,seed,attack,certainty,samples,cutoff,pad,crit_eps,std_err_eps,MSE,R2,M,D,Q,B,nu
BP_K10_w04_MX05_elu01,10,4,0.001,cosine,5,1.0,elu,0.6899,1156490078,fgsm,0.8,3312,0.0,0.1,0.008402373218933,8.599055081406404e-06,0.0002251699418626,0.9979725777291872,-0.2576863316091483,0.1102973537670074,1.267864382469246,30.157556396477627,5.374622233696772e-05
BP_K10_w04_MX05_elu02,10,4,0.001,cosine,5,2.0,elu,0.6716,83947245,fgsm,0.8,3426,0.0,0.1,0.0104980588725437,1.0677766868635884e-05,0.00011861324889,0.9989317659447184,-0.2850752302069351,0.1443269750435151,1.3603093508245034,29.99938012768187,2.963769080164982e-05
BP_K10_w04_MX05_elu04,10,4,0.001,cosine,5,4.0,elu,0.6309,393275713,fgsm,0.8,3386,0.0,0.1,0.0072307771343385,4.815397403725769e-06,0.000123803099138,0.9988850171930118,-0.2743789183910128,0.1178857679963063,1.6855393236172866,30.03695899027376,7.03657289418289e-05
BP_K10_w04_MX05_elu06,10,4,0.001,cosine,5,6.0,elu,0.5812,1217375311,fgsm,0.8,3511,0.0,0.1,0.0049605646496709,5.122321491428424e-06,0.0002293041238488,0.9979355278838946,-0.2859237600445539,0.1004184029278876,1.5895656069538753,29.90103596878583,7.027911188271404e-05
BP_K10_w04_MX05_elu08,10,4,0.001,cosine,5,8.0,elu,0.5504,238291759,fgsm,0.8,3377,0.0,0.1,0.0041735346604904,6.978063447005742e-06,0.0004617444217234,0.9958412200828844,-0.283877866059688,0.0974528942091391,1.3672411688555983,30.245799075422298,6.9887076869936e-05
BP_K10_w04_MX05_elu10,10,4,0.001,cosine,5,10.0,elu,0.5127,45867366,fgsm,0.8,2980,0.0,0.1,0.0041892444172772,9.640178716578988e-06,0.0006924174840034,0.9937616961846292,-0.303046922686184,0.1038414839068424,2.212389870111214,30.165607539364,7.017749661280183e-05
BP_K10_w04_MX05_elu12,10,4,0.001,cosine,5,12.0,elu,0.493,60333925,fgsm,0.8,2757,0.0,0.1,0.0040814664704335,1.3497922271858016e-05,0.0011146916676137,0.9899586647244945,-0.2896916906965208,0.1086704457973067,1.3063461516856236,30.042353194670387,7.020276971738396e-05
BP_K10_w04_MX05_elu16,10,4,0.001,cosine,5,16.0,elu,0.4626,1046687799,fgsm,0.8,2102,0.0,0.1,0.0039895126330701,1.5922608440785044e-05,0.001203683999678,0.9891593218089824,-0.3014224843758763,0.1061109003173833,1.9182320334247105,30.13249110261303,7.020331644344636e-05
BP_K10_w04_MX05_exp,10,4,0.001,cosine,5,0.0,exp,0.623,33931212,fgsm,0.8,1995,0.0,0.1,0.0193419242677996,5.692897873944485e-06,1.492060575508133e-05,0.9998655740951566,-0.3240914124380498,0.1640831342245156,1.4682400051102524,23.21089280909783,5.147269926086971e-05
BP_K10_w04_MX05_gelu01,10,4,0.001,cosine,5,1.0,gelu,0.6901,201424860,fgsm,0.8,3412,0.0,0.1,0.0097082949530155,1.08237890457933e-05,0.0001633778228767,0.9985289707999728,-0.2651363081148031,0.1289560688282141,0.922626113491312,29.90168577819322,3.501743533695844e-05
BP_K10_w04_MX05_gelu02,10,4,0.001,cosine,5,2.0,gelu,0.6542,157951845,fgsm,0.8,3174,0.0,0.1,0.0099345562536721,7.573527704447867e-06,7.06297925017193e-05,0.9993639560339316,-0.2821179814387037,0.1400899940762305,1.4325541979917549,29.779140373935828,3.893661437087863e-05
BP_K10_w04_MX05_gelu04,10,4,0.001,cosine,5,4.0,gelu,0.5915,432682634,fgsm,0.8,2882,0.0,0.1,0.0063406787064476,5.161940166737518e-06,0.0001381291193452,0.9987562084819244,-0.2765301160707951,0.1151156046325774,1.4611808626782947,29.98589871912669,7.018251144591561e-05
BP_K10_w04_MX05_gelu06,10,4,0.001,cosine,5,6.0,gelu,0.5324,63566599,fgsm,0.8,3016,0.0,0.1,0.0043906004079881,7.874146009666256e-06,0.0004979774197241,0.9955147937432178,-0.2835932182938893,0.0988001841982992,1.3210705144162975,30.00531731615141,7.019214321672283e-05
BP_K10_w04_MX05_gelu08,10,4,0.001,cosine,5,8.0,gelu,0.4902,429869915,fgsm,0.8,2749,0.0,0.1,0.0038150181265245,9.402857122364865e-06,0.0007363182284037,0.9933660925413644,-0.2942674379467692,0.0941765747417658,1.7687397289208548,30.273735013565837,7.016421834046118e-05
BP_K10_w04_MX05_gelu10,10,4,0.001,cosine,5,10.0,gelu,0.436,30521741,fgsm,0.8,2292,0.0,0.1,0.0034432837818454,1.303242577412933e-05,0.0012742120897284,0.9885247888608544,-0.2555863777839262,0.0883570484555285,0.5053226338527681,30.14982813204871,7.025454058637237e-05
BP_K10_w04_MX05_gelu12,10,4,0.001,cosine,5,12.0,gelu,0.3975,1011517598,fgsm,0.8,1641,0.0,0.1,0.0035322686666533,1.1252709200329136e-05,0.0007020104556222,0.9936770895446956,-0.2967726662230979,0.0898886737312894,1.698948197278818,30.036323989385217,7.019320078358215e-05
BP_K10_w04_MX05_gelu16,10,4,0.001,cosine,5,16.0,gelu,0.36,249362460,fgsm,0.8,1251,0.0,0.1,0.003181041005434,1.646560247519129e-05,0.0012130180141632,0.9890719185265338,-0.3017522665936574,0.0840778257566685,1.7757553226546745,29.85350744983675,7.023739686576925e-05
BP_K10_w04_MX05_relu01,10,4,0.001,cosine,5,1.0,relu,0.6972,3129404717,fgsm,0.8,3476,0.0,0.1,0.0090747959723888,8.395300293545139e-06,0.0001392347146048,0.9987460605615176,-0.2706947970474149,0.121641755177223,1.3565719396880374,30.003152978924067,4.296817133988434e-05
BP_K10_w04_MX05_relu02,10,4,0.001,cosine,5,2.0,relu,0.6713,70509938,fgsm,0.8,3264,0.0,0.1,0.0095742188784151,6.978288095966716e-06,6.792019509328601e-05,0.9993883668026248,-0.2767441726039826,0.1320782332828903,1.303567587356597,29.994345941037626,3.680356840639353e-05
BP_K10_w04_MX05_relu04,10,4,0.001,cosine,5,4.0,relu,0.615,272279462,fgsm,0.8,3386,0.0,0.1,0.0062625961625058,3.780332009561324e-06,9.53476644138132e-05,0.9991412896183696,-0.2737706148541425,0.1097178836456866,1.457787195562096,30.05441782385969,7.003080208502495e-05
BP_K10_w04_MX05_relu06,10,4,0.001,cosine,5,6.0,relu,0.5799,20658107,fgsm,0.8,3629,0.0,0.1,0.0044027401263464,7.466138987138238e-06,0.0005497098309356,0.99504862996171,-0.2848104935120169,0.0955188850752646,1.4205144884495498,29.967184818357616,7.012555289944254e-05
BP_K10_w04_MX05_relu08,10,4,0.001,cosine,5,8.0,relu,0.5311,241301331,fgsm,0.8,3532,0.0,0.1,0.0039205476493512,9.69711748164292e-06,0.0008898281809626,0.9919882380916962,-0.2626578516034267,0.098248191487726,0.6088512334641027,29.98034743995784,6.999361278813675e-05
BP_K10_w04_MX05_relu10,10,4,0.001,cosine,5,10.0,relu,0.4949,904407845,fgsm,0.8,3237,0.0,0.1,0.003451752894634,1.0550120434950118e-05,0.0010974478767751,0.9901153314415332,-0.2653337385270132,0.0928210879636921,0.6610038823851022,30.25156857521416,7.009021550483348e-05
BP_K10_w04_MX05_relu12,10,4,0.001,cosine,5,12.0,relu,0.4557,183738240,fgsm,0.8,2701,0.0,0.1,0.0033515198376318,1.290289946062902e-05,0.0013196157357505,0.9881179594701875,-0.2655842977864242,0.0933589468149541,0.5896201071032061,29.971815896692,7.019121460404412e-05
BP_K10_w04_MX05_relu16,10,4,0.001,cosine,5,16.0,relu,0.4076,1852301955,fgsm,0.8,2020,0.0,0.1,0.0031102509152183,1.2939082151535651e-05,0.0011896215830541,0.9892767993751598,-0.2419434296927224,0.0853886420808809,0.296522573178645,30.0046839333324,6.993264393574042e-05
BP_K10_w04_MX05_rexp,10,4,0.001,cosine,5,0.0,rexp,0.6958,1312586158,fgsm,0.8,3682,0.0,0.1,0.0082349097728292,7.325431282021536e-06,0.0001346222962135,0.9987879192236933,-0.2670384099801334,0.1150632494438844,1.2546324808647145,30.230441212740864,4.497539150515735e-05
BP_K10_w04_MX07_elu01,10,4,0.001,cosine,7,1.0,elu,0.6991,3765948939,fgsm,0.8,3471,0.0,0.1,0.0082693769119042,6.49789096844476e-06,0.0001441315874468,0.998702348393904,-0.2510887352684616,0.1092784621780567,0.9946898662989904,30.019373892214848,5.465375369550503e-05
BP_K10_w04_MX07_elu02,10,4,0.001,cosine,7,2.0,elu,0.6809,196663930,fgsm,0.8,3379,0.0,0.1,0.0103075755683837,1.030401230441046e-05,0.0001218719338662,0.9989022044715572,-0.1834071485554375,0.1808698503774093,0.2959639222920185,37.42447887807837,3.664568322521e-05
BP_K10_w04_MX07_elu04,10,4,0.001,cosine,7,4.0,elu,0.6399,56083002,fgsm,0.8,3267,0.0,0.1,0.0073428420162946,4.163812160548193e-06,8.714553067753701e-05,0.9992150893122936,-0.2690009272851482,0.1181425740820276,1.452886079780236,30.0144070401678,7.008385226159066e-05
BP_K10_w04_MX07_elu06,10,4,0.001,cosine,7,6.0,elu,0.5963,1894045162,fgsm,0.8,3167,0.0,0.1,0.0055742165401822,5.816200756465402e-06,0.0002250896893678,0.9979725916200992,-0.2837748480702938,0.1081118785585909,1.6426944980229563,30.005630138793776,7.010007563574105e-05
BP_K10_w04_MX07_elu08,10,4,0.001,cosine,7,8.0,elu,0.5592,2697052019,fgsm,0.8,3039,0.0,0.1,0.0047351283133404,8.498170797518116e-06,0.0005131239535091,0.9953774451592718,-0.2916032146622937,0.1041400619311656,1.8276269989095264,30.17240131555397,6.998322084504739e-05
BP_K10_w04_MX07_elu10,10,4,0.001,cosine,7,10.0,elu,0.5247,154230748,fgsm,0.8,2629,0.0,0.1,0.0046230067846644,1.1521227553802956e-05,0.000746828550086,0.9932710724250944,-0.2927444058839382,0.1104609012929281,1.6129461274024752,30.01430864217244,7.016811017984753e-05
BP_K10_w04_MX07_elu12,10,4,0.001,cosine,7,12.0,elu,0.5072,392256765,fgsm,0.8,2739,0.0,0.1,0.0040012261347104,1.1740682221023126e-05,0.0009405366785581,0.9915261400912068,-0.2816156323241852,0.10465512081478,1.2402603954189897,30.57235649568236,7.026831678784419e-05
BP_K10_w04_MX07_elu16,10,4,0.001,cosine,7,16.0,elu,0.4699,272544539,fgsm,0.8,2033,0.0,0.1,0.0042739060412935,2.0209946789724264e-05,0.0014902844719924,0.9865764318636276,-0.3036822306946954,0.1172919198799609,1.9374967198586055,30.06787130479404,7.012014373485812e-05
BP_K10_w04_MX07_exp,10,4,0.001,cosine,7,0.0,exp,0.6272,36843497,fgsm,0.8,1962,0.0,0.1,0.0192231770654127,5.166542401908825e-06,2.3923229888521045e-05,0.999784530749764,-0.34233403912881,0.1605015373506473,2.3989518342635074,22.561958983383114,7.113525243502297e-05
