hebb_name,name,K,width,p,k,delta,hebb_eps0,hebb_lr_type,hebb_epochs,ratio,clas_eps0,clas_epochs,clas_lr_type,maxpool_kernel,power,activate,test_acc,seed,attack,certainty,samples,cutoff,pad,crit_eps,std_err_eps,MSE,R2,M,D,Q,B,nu
K10_w12_22,MX05_elu06,10,12,2,2,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,6.0,elu,0.5227,126574473,fgsm,0.8,516,0.0,0.1,0.0444937796920906,0.0001215422675643,0.0001245970926699,0.9988736111010011,-0.3279214038169221,0.5196362634153919,2.3225921396550877,29.615512617250136,1.1142983046114273e-05
K10_w12_22,MX05_elu08,10,12,2,2,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,8.0,elu,0.532,110861084,fgsm,0.8,645,0.0,0.1,0.0406385894238043,3.376230508998792e-05,7.348228939716193e-05,0.9993365127956622,-0.2365737806914696,0.4378339337715884,1.3805742101073823,29.997766876429203,7.059867979398145e-05
K10_w12_22,MX05_elu10,10,12,2,2,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,10.0,elu,0.5415,127872674,fgsm,0.8,789,0.0,0.1,0.0385999174547211,2.267555616592134e-05,4.705612687780145e-05,0.9995749196748364,-0.2349506651434116,0.4080842967924763,1.3806306681180809,29.998166879549803,7.02803433490332e-05
K10_w12_22,MX05_elu12,10,12,2,2,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,12.0,elu,0.5493,1748786864,fgsm,0.8,888,0.0,0.1,0.036856915348843,2.3848772458682115e-05,6.294202124379423e-05,0.9994317854612716,-0.2380442633173263,0.4038302262492259,1.3805110723343743,29.9982479860268,7.075074882023268e-05
K10_w12_22,MX05_elu16,10,12,2,2,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,16.0,elu,0.556,6036002722,fgsm,0.8,1053,0.0,0.1,0.0342120059434104,3.524292955994905e-05,0.0001224753232794,0.9988959736911734,-0.2433696946042143,0.419139559438477,1.1685580271110607,30.204508290076312,6.375164088993833e-05
K10_w12_22,MX05_gelu10,10,12,2,2,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,10.0,gelu,0.5246,184205645,fgsm,0.8,522,0.0,0.1,0.0461607482409002,4.493674207857733e-05,9.148229679440598e-05,0.9991743513086004,-0.2461767964067765,0.4792490857038471,1.8328042534728608,29.6864057606432,7.037874503820093e-05
K10_w12_22,MX05_relu08,10,12,2,2,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,8.0,relu,0.5254,2133424518,fgsm,0.8,619,0.0,0.1,0.0403085731262856,3.13130502643489e-05,7.01011176214573e-05,0.9993660938123052,-0.2342212999352184,0.4083422454575391,1.4982660900885587,29.93502207051804,7.034641816200396e-05
K10_w12_22,MX05_relu10,10,12,2,2,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,10.0,relu,0.5396,6759568709,fgsm,0.8,783,0.0,0.1,0.0382366316781692,2.3222946870039287e-05,5.233431473792301e-05,0.9995279857042996,-0.2340218711957299,0.4010665250284932,1.380630665150597,29.99824605009593,7.065798339746315e-05
K10_w12_22,MX05_relu12,10,12,2,2,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,12.0,relu,0.5508,246454159,fgsm,0.8,914,0.0,0.1,0.0361132384910439,2.4971772822937076e-05,7.245157788321615e-05,0.9993465941636148,-0.2395073790568385,0.4000025020941454,1.3870330359170149,30.000233175748363,7.00285700167646e-05
K10_w12_22,MX05_relu16,10,12,2,2,0.1,0.001,cosine,30,0.99,0.002,100,cosine,5,16.0,relu,0.5564,450008347,fgsm,0.8,1052,0.0,0.1,0.0342328056164868,3.162956191887422e-05,0.0001122757716574,0.9989881149178172,-0.2427401788647877,0.4162710388874385,1.154967292497582,30.008954525308425,6.717913216649184e-05
